instance,populationSize,crossoverProb,mutationProb,run,hv,timeMillis,n_points,n_nd
instancia_mediana.json,120,0.7,0.2,17,275.0,440.0,1,1
instancia_mediana.json,120,0.7,0.2,18,350.0,447.0,1,1
instancia_mediana.json,120,0.7,0.2,19,350.0,452.0,1,1
instancia_mediana.json,120,0.7,0.2,20,300.0,433.0,1,1
instancia_mediana.json,120,0.7,0.2,21,300.0,475.0,1,1
instancia_mediana.json,120,0.7,0.2,22,350.0,511.0,1,1
instancia_mediana.json,120,0.7,0.2,23,346.0,492.0,2,2
instancia_mediana.json,120,0.7,0.2,24,300.0,460.0,1,1
instancia_mediana.json,120,0.7,0.2,25,350.0,470.0,1,1
instancia_mediana.json,120,0.7,0.2,26,350.0,510.0,1,1
instancia_mediana.json,120,0.7,0.2,27,300.0,500.0,1,1
instancia_mediana.json,120,0.7,0.2,28,325.0,524.0,1,1
instancia_mediana.json,120,0.7,0.2,29,350.0,510.0,1,1
instancia_mediana.json,120,0.9,0.05,0,275.0,487.0,1,1
instancia_mediana.json,120,0.9,0.05,1,350.0,458.0,1,1
instancia_mediana.json,120,0.9,0.05,2,342.0,501.0,2,2
instancia_mediana.json,120,0.9,0.05,3,325.0,449.0,1,1
instancia_mediana.json,120,0.9,0.05,4,350.0,556.0,1,1
instancia_mediana.json,120,0.9,0.05,5,275.0,547.0,1,1
instancia_mediana.json,120,0.9,0.05,6,350.0,548.0,1,1
instancia_mediana.json,120,0.9,0.05,7,223.0,506.0,2,2
instancia_mediana.json,120,0.9,0.05,8,248.0,522.0,2,2
instancia_mediana.json,120,0.9,0.05,9,300.0,620.0,1,1
instancia_mediana.json,120,0.9,0.05,10,275.0,456.0,1,1
instancia_mediana.json,120,0.9,0.05,11,350.0,551.0,1,1
instancia_mediana.json,120,0.9,0.05,12,350.0,476.0,1,1
instancia_mediana.json,120,0.9,0.05,13,374.0,470.0,2,2
instancia_mediana.json,120,0.9,0.05,14,275.0,458.0,1,1
instancia_mediana.json,120,0.9,0.05,15,375.0,496.0,1,1
instancia_mediana.json,120,0.9,0.05,16,325.0,471.0,1,1
instancia_mediana.json,120,0.9,0.05,17,300.0,453.0,1,1
instancia_mediana.json,120,0.9,0.05,18,350.0,499.0,1,1
instancia_mediana.json,120,0.9,0.05,19,325.0,478.0,1,1
instancia_mediana.json,120,0.9,0.05,20,270.0,486.0,2,2
instancia_mediana.json,120,0.9,0.05,21,300.0,450.0,1,1
instancia_mediana.json,120,0.9,0.05,22,350.0,442.0,1,1
instancia_mediana.json,120,0.9,0.05,23,200.0,499.0,1,1
instancia_mediana.json,120,0.9,0.05,24,350.0,462.0,1,1
instancia_mediana.json,120,0.9,0.05,25,324.0,465.0,2,2
instancia_mediana.json,120,0.9,0.05,26,325.0,458.0,1,1
instancia_mediana.json,120,0.9,0.05,27,350.0,440.0,1,1
instancia_mediana.json,120,0.9,0.05,28,267.0,455.0,2,2
instancia_mediana.json,120,0.9,0.05,29,325.0,459.0,1,1
instancia_mediana.json,120,0.9,0.1,0,350.0,479.0,1,1
instancia_mediana.json,120,0.9,0.1,1,325.0,482.0,1,1
instancia_mediana.json,120,0.9,0.1,2,350.0,468.0,1,1
instancia_mediana.json,120,0.9,0.1,3,350.0,570.0,1,1
instancia_mediana.json,120,0.9,0.1,4,275.0,484.0,1,1
instancia_mediana.json,120,0.9,0.1,5,350.0,517.0,1,1
instancia_mediana.json,120,0.9,0.1,6,300.0,439.0,1,1
instancia_mediana.json,120,0.9,0.1,7,350.0,474.0,1,1
instancia_mediana.json,120,0.9,0.1,8,350.0,467.0,1,1
instancia_mediana.json,120,0.9,0.1,9,325.0,445.0,1,1
instancia_mediana.json,120,0.9,0.1,10,375.0,480.0,1,1
instancia_mediana.json,120,0.9,0.1,11,350.0,472.0,1,1
instancia_mediana.json,120,0.9,0.1,12,350.0,490.0,1,1
instancia_mediana.json,120,0.9,0.1,13,324.0,466.0,2,2
instancia_mediana.json,120,0.9,0.1,14,300.0,465.0,1,1
instancia_mediana.json,120,0.9,0.1,15,350.0,450.0,1,1
